Geneid	SRR031708_aligned.sam	SRR031709_aligned.sam	SRR031718_aligned.sam	SRR031719_aligned.sam
FBgn0031081	5	5	5	2
FBgn0052826	0	0	0	0
FBgn0031085	2	0	0	1
FBgn0062565	1	0	0	0
FBgn0031088	1	2	2	0
FBgn0041626	0	0	0	1
FBgn0040784	4	4	4	7
FBgn0031086	1	0	0	1
FBgn0031082	0	0	0	0
FBgn0031080	205	140	140	100
FBgn0052821	1	1	1	0
FBgn0053217	6	6	6	17
FBgn0052350	26	16	16	35
FBgn0024733	2860	2002	2002	3069
FBgn0040372	207	136	136	101
FBgn0000316	73	48	48	48
FBgn0024989	1	1	1	0
FBgn0040371	0	0	0	0
FBgn0029521	17	18	18	27
FBgn0004034	50	40	40	40
FBgn0000022	1	0	0	0
FBgn0004170	0	0	0	0
FBgn0002561	0	0	0	0
FBgn0000137	0	0	0	1
FBgn0029522	0	0	0	0
FBgn0052817	1	0	0	0
FBgn0029524	2	1	1	3
FBgn0023536	15	6	6	11
FBgn0023534	1	0	0	0
FBgn0023535	17	13	13	5
FBgn0023537	438	347	347	152
FBgn0029525	79	53	53	55
FBgn0029523	1	3	3	3
FBgn0010019	1	0	0	0
FBgn0011822	0	0	0	0
FBgn0052816	1	1	1	0
FBgn0040370	1	0	0	3
FBgn0040373	18	12	12	19
FBgn0000108	13	16	16	6
FBgn0025640	91	69	69	41
FBgn0025635	34	17	17	8
FBgn0001341	89	67	67	43
FBgn0003575	302	178	178	98
FBgn0025634	57	49	49	15
FBgn0025638	138	96	96	87
FBgn0040383	80	51	51	35
FBgn0040382	91	62	62	40
FBgn0027343	3	1	1	1
FBgn0025621	134	91	91	62
FBgn0029535	1	0	0	0
FBgn0026874	10	10	10	5
FBgn0025616	4	4	4	2
FBgn0015799	222	133	133	91
FBgn0025620	2	0	0	0
FBgn0015288	1878	1327	1327	573
FBgn0029532	0	1	1	0
FBgn0029531	0	0	0	0
FBgn0025639	264	204	204	102
FBgn0002579	3800	2619	2619	1337
FBgn0026879	103	82	82	59
FBgn0029529	24	13	13	10
FBgn0025633	195	150	150	101
FBgn0040892	0	0	0	0
FBgn0040341	0	1	1	0
FBgn0029539	0	0	0	0
FBgn0040339	29	23	23	11
FBgn0052815	7	3	3	3
FBgn0040340	178	162	162	84
FBgn0040347	23	8	8	6
FBgn0042146	0	0	0	0
FBgn0029552	0	0	0	0
FBgn0040337	44	29	29	13
FBgn0040398	1172	824	824	299
FBgn0040365	0	0	0	0
FBgn0040397	67	43	43	39
FBgn0026143	87	50	50	23
FBgn0040351	5	0	0	2
FBgn0040338	0	0	0	0
FBgn0040350	0	0	0	0
FBgn0040349	0	0	0	0
FBgn0040348	11	8	8	3
FBgn0040346	69	59	59	17
FBgn0040342	0	0	0	0
FBgn0040345	0	1	1	1
FBgn0040343	0	0	0	0
FBgn0052814	1	1	1	0
FBgn0040364	8	11	11	9
FBgn0040362	1	0	0	0
FBgn0040361	0	0	0	0
FBgn0040360	0	0	0	0
FBgn0040359	0	0	0	0
FBgn0040358	1	0	0	0
FBgn0029568	6	0	0	3
FBgn0040357	3	0	0	0
FBgn0040367	3	1	1	2
FBgn0025642	19	8	8	6
FBgn0004650	53	29	29	11
FBgn0024362	129	98	98	71
FBgn0024361	3	2	2	1
FBgn0024364	164	117	117	54
FBgn0029573	7	3	3	1
FBgn0024987	314	211	211	119
FBgn0023169	213	171	171	87
FBgn0052813	51	37	37	11
FBgn0024985	193	163	163	90
FBgn0027794	158	137	137	78
FBgn0027795	18	13	13	11
FBgn0024986	71	58	58	27
FBgn0000826	23	13	13	19
FBgn0024365	258	158	158	100
FBgn0024360	41	29	29	28
FBgn0024366	9	1	1	6
FBgn0025641	141	122	122	98
FBgn0052811	1	0	0	0
FBgn0028550	95	78	78	74
FBgn0026876	63	33	33	39
FBgn0040366	5	9	9	0
FBgn0040363	2	0	0	0
FBgn0040368	0	0	0	0
FBgn0026872	46	28	28	12
FBgn0029580	4	4	4	3
FBgn0025383	22	12	12	6
FBgn0025381	1354	985	985	457
FBgn0025394	497	362	362	187
FBgn0000482	296	208	208	118
FBgn0001189	313	215	215	146
FBgn0029587	5	5	5	3
FBgn0024897	31	23	23	8
FBgn0025391	0	0	0	0
FBgn0025378	0	0	0	0
FBgn0023130	106	72	72	51
